CHR_ID	CHR_POS	LINK	STUDY	Analyzed Phenotype	NHGRI Phenotype	Unnamed: 0	allelotype	phenotype	add_log_OR	add_p	add_se	gen_1_log_OR	gen_1_p	gen_1_se	gen_2_log_OR	gen_2_p	gen_2_se	aic_add	aic_gen	aic_diff	description	gene
6	32696681	www.ncbi.nlm.nih.gov/pubmed/21408207	Differential genetic associations for systemic lupus erythematosus based on anti-dsDNA autoantibody production.	connective tissue disorder	Systemic lupus erythematosus	33753	DQA1_201	HC136	-0.29574	9.16E-08	0.044889	-0.283751	2.27E-05	0.050053	-0.678193	0.344957782	0.1876	28640	28642	2	connective tissue disorder	HLA-DQA1
		www.ncbi.nlm.nih.gov/pubmed/26606652	Genome-Wide Association Study in an Amerindian Ancestry Population Reveals Novel Systemic Lupus Erythematosus Risk Loci and the Role of European Admixture.	connective tissue disorder	Systemic lupus erythematosus	20253	DQA1_301	HC136	0.244925	3.54E-10	0.033135	0.272924	2.19E-07	0.042261	0.428144	0.004402467	0.08949	28516	28516	0	connective tissue disorder	HLA-DQA1
		www.ncbi.nlm.nih.gov/pubmed/26606652	Genome-Wide Association Study in an Amerindian Ancestry Population Reveals Novel Systemic Lupus Erythematosus Risk Loci and the Role of European Admixture.	connective tissue disorder	Systemic lupus erythematosus	33753	DQA1_201	HC136	-0.29574	9.16E-08	0.044889	-0.283751	2.27E-05	0.050053	-0.678193	0.344957782	0.1876	28640	28642	2	connective tissue disorder	HLA-DQA1
6	32638107	www.ncbi.nlm.nih.gov/pubmed/26316170	Identification of a New Susceptibility Locus for Systemic Lupus Erythematosus on Chromosome 12 in Individuals of European Ancestry.	connective tissue disorder	Systemic lupus erythematosus	20253	DQA1_301	HC136	0.244925	3.54E-10	0.033135	0.272924	2.19E-07	0.042261	0.428144	0.004402467	0.08949	28516	28516	0	connective tissue disorder	HLA-DQA1
6	32638107	www.ncbi.nlm.nih.gov/pubmed/26316170	Identification of a New Susceptibility Locus for Systemic Lupus Erythematosus on Chromosome 12 in Individuals of European Ancestry.	connective tissue disorder	Systemic lupus erythematosus	33753	DQA1_201	HC136	-0.29574	9.16E-08	0.044889	-0.283751	2.27E-05	0.050053	-0.678193	0.344957782	0.1876	28640	28642	2	connective tissue disorder	HLA-DQA1
		www.ncbi.nlm.nih.gov/pubmed/24871463	GWAS identifies novel SLE susceptibility genes and explains the association of the HLA region.	connective tissue disorder	Systemic lupus erythematosus	20253	DQA1_301	HC136	0.244925	3.54E-10	0.033135	0.272924	2.19E-07	0.042261	0.428144	0.004402467	0.08949	28516	28516	0	connective tissue disorder	HLA-DQA1
		www.ncbi.nlm.nih.gov/pubmed/24871463	GWAS identifies novel SLE susceptibility genes and explains the association of the HLA region.	connective tissue disorder	Systemic lupus erythematosus	33753	DQA1_201	HC136	-0.29574	9.16E-08	0.044889	-0.283751	2.27E-05	0.050053	-0.678193	0.344957782	0.1876	28640	28642	2	connective tissue disorder	HLA-DQA1
6	32623176	www.ncbi.nlm.nih.gov/pubmed/24097066	A genome-wide association study in Han Chinese identifies a susceptibility locus for primary Sjögren's syndrome at 7q11.23.	connective tissue disorder	Sjögren's syndrome	20253	DQA1_301	HC136	0.244925	3.54E-10	0.033135	0.272924	2.19E-07	0.042261	0.428144	0.004402467	0.08949	28516	28516	0	connective tissue disorder	HLA-DQA1
6	32623176	www.ncbi.nlm.nih.gov/pubmed/24097066	A genome-wide association study in Han Chinese identifies a susceptibility locus for primary Sjögren's syndrome at 7q11.23.	connective tissue disorder	Sjögren's syndrome	33753	DQA1_201	HC136	-0.29574	9.16E-08	0.044889	-0.283751	2.27E-05	0.050053	-0.678193	0.344957782	0.1876	28640	28642	2	connective tissue disorder	HLA-DQA1
6	32622724	www.ncbi.nlm.nih.gov/pubmed/28076899	Genome-Wide Association Analysis Reveals Genetic Heterogeneity of Sjögren's Syndrome According to Ancestry.	connective tissue disorder	Sjögren's syndrome	20253	DQA1_301	HC136	0.244925	3.54E-10	0.033135	0.272924	2.19E-07	0.042261	0.428144	0.004402467	0.08949	28516	28516	0	connective tissue disorder	HLA-DQA1
6	32622724	www.ncbi.nlm.nih.gov/pubmed/28076899	Genome-Wide Association Analysis Reveals Genetic Heterogeneity of Sjögren's Syndrome According to Ancestry.	connective tissue disorder	Sjögren's syndrome	33753	DQA1_201	HC136	-0.29574	9.16E-08	0.044889	-0.283751	2.27E-05	0.050053	-0.678193	0.344957782	0.1876	28640	28642	2	connective tissue disorder	HLA-DQA1
6	32629287	www.ncbi.nlm.nih.gov/pubmed/24097067	Variants at multiple loci implicated in both innate and adaptive immune responses are associated with Sjögren's syndrome.	connective tissue disorder	Sjögren's syndrome	20253	DQA1_301	HC136	0.244925	3.54E-10	0.033135	0.272924	2.19E-07	0.042261	0.428144	0.004402467	0.08949	28516	28516	0	connective tissue disorder	HLA-DQA1
6	32629287	www.ncbi.nlm.nih.gov/pubmed/24097067	Variants at multiple loci implicated in both innate and adaptive immune responses are associated with Sjögren's syndrome.	connective tissue disorder	Sjögren's syndrome	33753	DQA1_201	HC136	-0.29574	9.16E-08	0.044889	-0.283751	2.27E-05	0.050053	-0.678193	0.344957782	0.1876	28640	28642	2	connective tissue disorder	HLA-DQA1
6	32693798	www.ncbi.nlm.nih.gov/pubmed/28698626	A genome-wide association study suggests the HLA Class II region as the major susceptibility locus for IgA vasculitis.	connective tissue disorder	Immunoglobulin A vasculitis	20253	DQA1_301	HC136	0.244925	3.54E-10	0.033135	0.272924	2.19E-07	0.042261	0.428144	0.004402467	0.08949	28516	28516	0	connective tissue disorder	HLA-DQA1
6	32693798	www.ncbi.nlm.nih.gov/pubmed/28698626	A genome-wide association study suggests the HLA Class II region as the major susceptibility locus for IgA vasculitis.	connective tissue disorder	Immunoglobulin A vasculitis	33753	DQA1_201	HC136	-0.29574	9.16E-08	0.044889	-0.283751	2.27E-05	0.050053	-0.678193	0.344957782	0.1876	28640	28642	2	connective tissue disorder	HLA-DQA1
6	32607736	www.ncbi.nlm.nih.gov/pubmed/26891255	HLA-C*01 is a Risk Factor for Crohn's Disease.	crohns disease	Crohn's disease	38334	DRB1_103	HC322	1.098	4.00E-36	0.08287	1.102	6.92E-13	0.08727	2.133	0.051450409	0.5104	20625	20627	2	crohns disease	HLA-DRB1
6	32713151	www.ncbi.nlm.nih.gov/pubmed/23266558	A genome-wide association study identifies 2 susceptibility Loci for Crohn's disease in a Japanese population.	crohns disease	Crohn's disease	38334	DRB1_103	HC322	1.098	4.00E-36	0.08287	1.102	6.92E-13	0.08727	2.133	0.051450409	0.5104	20625	20627	2	crohns disease	HLA-DRB1
6	32405455	www.ncbi.nlm.nih.gov/pubmed/23850713	Genome-wide association study of Crohn's disease in Koreans revealed three new susceptibility loci and common attributes of genetic susceptibility across ethnic populations.	crohns disease	Crohn's disease	38334	DRB1_103	HC322	1.098	4.00E-36	0.08287	1.102	6.92E-13	0.08727	2.133	0.051450409	0.5104	20625	20627	2	crohns disease	HLA-DRB1
6	32619077	www.ncbi.nlm.nih.gov/pubmed/23850713	Genome-wide association study of Crohn's disease in Koreans revealed three new susceptibility loci and common attributes of genetic susceptibility across ethnic populations.	crohns disease	Crohn's disease	38334	DRB1_103	HC322	1.098	4.00E-36	0.08287	1.102	6.92E-13	0.08727	2.133	0.051450409	0.5104	20625	20627	2	crohns disease	HLA-DRB1
6	32713151	www.ncbi.nlm.nih.gov/pubmed/23266558	A genome-wide association study identifies 2 susceptibility Loci for Crohn's disease in a Japanese population.	crohns disease	Crohn's disease	7014	DQB1_609	HC322	0.5415396	0.047014695	0.1352353	0.5244237	0.11396902	0.1389857	1.7006239	1	1.0135208	20863	20865	2	crohns disease	HLA-DQB1
6	32691666	www.ncbi.nlm.nih.gov/pubmed/26891255	HLA-C*01 is a Risk Factor for Crohn's Disease.	crohns disease	Crohn's disease	7014	DQB1_609	HC322	0.5415396	0.047014695	0.1352353	0.5244237	0.11396902	0.1389857	1.7006239	1	1.0135208	20863	20865	2	crohns disease	HLA-DQB1
6	32638107	www.ncbi.nlm.nih.gov/pubmed/28008999	Genetic architecture differences between pediatric and adult-onset inflammatory bowel diseases in the Polish population.	ulcerative colitis	Ulcerative colitis	1429	DQA1_101	HC201	0.226565	3.81E-08	0.033677	0.198229	0.001100251	0.040386	0.554492	0.000186548	0.101626	35514	35514	0	ulcerative colitis	HLA-DQA1
6	32638107	www.ncbi.nlm.nih.gov/pubmed/28008999	Genetic architecture differences between pediatric and adult-onset inflammatory bowel diseases in the Polish population.	ulcerative colitis	Ulcerative colitis	20329	DQA1_301	HC201	-0.273195	5.71E-12	0.034427	-0.321547	1.58E-11	0.04109	-0.366527	0.412652629	0.103108	35369	35366	-3	ulcerative colitis	HLA-DQA1
6	32465390	www.ncbi.nlm.nih.gov/pubmed/19122664	Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.	ulcerative colitis	Ulcerative colitis	1429	DQA1_101	HC201	0.226565	3.81E-08	0.033677	0.198229	0.001100251	0.040386	0.554492	0.000186548	0.101626	35514	35514	0	ulcerative colitis	HLA-DQA1
6	32465390	www.ncbi.nlm.nih.gov/pubmed/19122664	Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.	ulcerative colitis	Ulcerative colitis	20329	DQA1_301	HC201	-0.273195	5.71E-12	0.034427	-0.321547	1.58E-11	0.04109	-0.366527	0.412652629	0.103108	35369	35366	-3	ulcerative colitis	HLA-DQA1
6	32461866	www.ncbi.nlm.nih.gov/pubmed/21297633	"Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47."	ulcerative colitis	Ulcerative colitis	1429	DQA1_101	HC201	0.226565	3.81E-08	0.033677	0.198229	0.001100251	0.040386	0.554492	0.000186548	0.101626	35514	35514	0	ulcerative colitis	HLA-DQA1
6	32461866	www.ncbi.nlm.nih.gov/pubmed/21297633	"Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47."	ulcerative colitis	Ulcerative colitis	20329	DQA1_301	HC201	-0.273195	5.71E-12	0.034427	-0.321547	1.58E-11	0.04109	-0.366527	0.412652629	0.103108	35369	35366	-3	ulcerative colitis	HLA-DQA1
6	32644620	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	1429	DQA1_101	HC201	0.226565	3.81E-08	0.033677	0.198229	0.001100251	0.040386	0.554492	0.000186548	0.101626	35514	35514	0	ulcerative colitis	HLA-DQA1
6	32644620	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	20329	DQA1_301	HC201	-0.273195	5.71E-12	0.034427	-0.321547	1.58E-11	0.04109	-0.366527	0.412652629	0.103108	35369	35366	-3	ulcerative colitis	HLA-DQA1
6	32619077	www.ncbi.nlm.nih.gov/pubmed/23511034	Genome-wide association study of ulcerative colitis in Koreans suggests extensive overlapping of genetic susceptibility with Caucasians.	ulcerative colitis	Ulcerative colitis	1429	DQA1_101	HC201	0.226565	3.81E-08	0.033677	0.198229	0.001100251	0.040386	0.554492	0.000186548	0.101626	35514	35514	0	ulcerative colitis	HLA-DQA1
6	32619077	www.ncbi.nlm.nih.gov/pubmed/23511034	Genome-wide association study of ulcerative colitis in Koreans suggests extensive overlapping of genetic susceptibility with Caucasians.	ulcerative colitis	Ulcerative colitis	20329	DQA1_301	HC201	-0.273195	5.71E-12	0.034427	-0.321547	1.58E-11	0.04109	-0.366527	0.412652629	0.103108	35369	35366	-3	ulcerative colitis	HLA-DQA1
6	32644620	www.ncbi.nlm.nih.gov/pubmed/28067908	Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	1429	DQA1_101	HC201	0.226565	3.81E-08	0.033677	0.198229	0.001100251	0.040386	0.554492	0.000186548	0.101626	35514	35514	0	ulcerative colitis	HLA-DQA1
6	32644620	www.ncbi.nlm.nih.gov/pubmed/28067908	Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	20329	DQA1_301	HC201	-0.273195	5.71E-12	0.034427	-0.321547	1.58E-11	0.04109	-0.366527	0.412652629	0.103108	35369	35366	-3	ulcerative colitis	HLA-DQA1
6	32659937	www.ncbi.nlm.nih.gov/pubmed/24837172	Genome-wide association scan in north Indians reveals three novel HLA-independent risk loci for ulcerative colitis.	ulcerative colitis	Ulcerative colitis	1429	DQA1_101	HC201	0.226565	3.81E-08	0.033677	0.198229	0.001100251	0.040386	0.554492	0.000186548	0.101626	35514	35514	0	ulcerative colitis	HLA-DQA1
6	32659937	www.ncbi.nlm.nih.gov/pubmed/24837172	Genome-wide association scan in north Indians reveals three novel HLA-independent risk loci for ulcerative colitis.	ulcerative colitis	Ulcerative colitis	20329	DQA1_301	HC201	-0.273195	5.71E-12	0.034427	-0.321547	1.58E-11	0.04109	-0.366527	0.412652629	0.103108	35369	35366	-3	ulcerative colitis	HLA-DQA1
6	32465390	www.ncbi.nlm.nih.gov/pubmed/19122664	Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.	ulcerative colitis	Ulcerative colitis	7909	DQB1_602	HC201	0.166181	0.001876973	0.034669	0.075914	1	0.041855	0.642209	2.65E-07	0.09775	35210	35196	-14	ulcerative colitis	HLA-DQB1
6	32465390	www.ncbi.nlm.nih.gov/pubmed/19122664	Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.	ulcerative colitis	Ulcerative colitis	18979	DQB1_302	HC201	-0.343215	1.60E-09	0.047771	-0.378076	1.22E-09	0.052231	-0.360633	1	0.201632	35526	35525	-1	ulcerative colitis	HLA-DQB1
6	32465390	www.ncbi.nlm.nih.gov/pubmed/19122664	Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.	ulcerative colitis	Ulcerative colitis	40849	DQB1_501	HC201	0.216639	3.05E-06	0.035959	0.181193	0.016220114	0.042173	0.587967	0.001067447	0.115342	35582	35582	0	ulcerative colitis	HLA-DQB1
6	32644620	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	7909	DQB1_602	HC201	0.166181	0.001876973	0.034669	0.075914	1	0.041855	0.642209	2.65E-07	0.09775	35210	35196	-14	ulcerative colitis	HLA-DQB1
6	32644620	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	18979	DQB1_302	HC201	-0.343215	1.60E-09	0.047771	-0.378076	1.22E-09	0.052231	-0.360633	1	0.201632	35526	35525	-1	ulcerative colitis	HLA-DQB1
6	32644620	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	40849	DQB1_501	HC201	0.216639	3.05E-06	0.035959	0.181193	0.016220114	0.042173	0.587967	0.001067447	0.115342	35582	35582	0	ulcerative colitis	HLA-DQB1
6	32644620	www.ncbi.nlm.nih.gov/pubmed/28067908	Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	7909	DQB1_602	HC201	0.166181	0.001876973	0.034669	0.075914	1	0.041855	0.642209	2.65E-07	0.09775	35210	35196	-14	ulcerative colitis	HLA-DQB1
6	32644620	www.ncbi.nlm.nih.gov/pubmed/28067908	Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	18979	DQB1_302	HC201	-0.343215	1.60E-09	0.047771	-0.378076	1.22E-09	0.052231	-0.360633	1	0.201632	35526	35525	-1	ulcerative colitis	HLA-DQB1
6	32644620	www.ncbi.nlm.nih.gov/pubmed/28067908	Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	40849	DQB1_501	HC201	0.216639	3.05E-06	0.035959	0.181193	0.016220114	0.042173	0.587967	0.001067447	0.115342	35582	35582	0	ulcerative colitis	HLA-DQB1
6	32659937	www.ncbi.nlm.nih.gov/pubmed/24837172	Genome-wide association scan in north Indians reveals three novel HLA-independent risk loci for ulcerative colitis.	ulcerative colitis	Ulcerative colitis	7909	DQB1_602	HC201	0.166181	0.001876973	0.034669	0.075914	1	0.041855	0.642209	2.65E-07	0.09775	35210	35196	-14	ulcerative colitis	HLA-DQB1
6	32659937	www.ncbi.nlm.nih.gov/pubmed/24837172	Genome-wide association scan in north Indians reveals three novel HLA-independent risk loci for ulcerative colitis.	ulcerative colitis	Ulcerative colitis	18979	DQB1_302	HC201	-0.343215	1.60E-09	0.047771	-0.378076	1.22E-09	0.052231	-0.360633	1	0.201632	35526	35525	-1	ulcerative colitis	HLA-DQB1
6	32659937	www.ncbi.nlm.nih.gov/pubmed/24837172	Genome-wide association scan in north Indians reveals three novel HLA-independent risk loci for ulcerative colitis.	ulcerative colitis	Ulcerative colitis	40849	DQB1_501	HC201	0.216639	3.05E-06	0.035959	0.181193	0.016220114	0.042173	0.587967	0.001067447	0.115342	35582	35582	0	ulcerative colitis	HLA-DQB1
6	32465390	www.ncbi.nlm.nih.gov/pubmed/19122664	Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.	ulcerative colitis	Ulcerative colitis	28699	DRB5_9901	HC201	-0.150415	0.00790186	0.033696	-0.549555	1.43E-05	0.095508	-0.601562	2.53E-07	0.091439	35110	35095	-15	ulcerative colitis	HLA-DRB5
6	32465390	www.ncbi.nlm.nih.gov/pubmed/19122664	Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.	ulcerative colitis	Ulcerative colitis	28969	DRB5_101	HC201	0.162041	0.002334082	0.034166	0.062487	1	0.041537	0.648232	3.75E-08	0.094229	35506	35489	-17	ulcerative colitis	HLA-DRB5
6	32461866	www.ncbi.nlm.nih.gov/pubmed/21297633	"Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47."	ulcerative colitis	Ulcerative colitis	28699	DRB5_9901	HC201	-0.150415	0.00790186	0.033696	-0.549555	1.43E-05	0.095508	-0.601562	2.53E-07	0.091439	35110	35095	-15	ulcerative colitis	HLA-DRB5
6	32461866	www.ncbi.nlm.nih.gov/pubmed/21297633	"Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47."	ulcerative colitis	Ulcerative colitis	28969	DRB5_101	HC201	0.162041	0.002334082	0.034166	0.062487	1	0.041537	0.648232	3.75E-08	0.094229	35506	35489	-17	ulcerative colitis	HLA-DRB5
6	32644620	www.ncbi.nlm.nih.gov/pubmed/28067908	Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	28699	DRB5_9901	HC201	-0.150415	0.00790186	0.033696	-0.549555	1.43E-05	0.095508	-0.601562	2.53E-07	0.091439	35110	35095	-15	ulcerative colitis	HLA-DRB5
6	32644620	www.ncbi.nlm.nih.gov/pubmed/28067908	Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	28969	DRB5_101	HC201	0.162041	0.002334082	0.034166	0.062487	1	0.041537	0.648232	3.75E-08	0.094229	35506	35489	-17	ulcerative colitis	HLA-DRB5
6	32465390	www.ncbi.nlm.nih.gov/pubmed/19122664	Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.	ulcerative colitis	Ulcerative colitis	9799	DRB1_404	HC201	-0.535088	5.37E-07	0.084859	-0.541463	9.10E-07	0.087004	-0.82623	1	0.707733	35236	35238	2	ulcerative colitis	HLA-DRB1
6	32465390	www.ncbi.nlm.nih.gov/pubmed/19122664	Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.	ulcerative colitis	Ulcerative colitis	38149	DRB1_103	HC201	1.037461	1.85E-58	0.062109	1.037587	6.92E-13	0.065163	2.072556	0.000406062	0.391675	35275	35277	2	ulcerative colitis	HLA-DRB1
6	32465390	www.ncbi.nlm.nih.gov/pubmed/19122664	Ulcerative colitis-risk loci on chromosomes 1p36 and 12q15 found by genome-wide association study.	ulcerative colitis	Ulcerative colitis	40039	DRB1_1501	HC201	0.167321	0.001163618	0.034165	0.070841	1	0.041491	0.650789	3.75E-08	0.094608	35472	35457	-15	ulcerative colitis	HLA-DRB1
6	32461866	www.ncbi.nlm.nih.gov/pubmed/21297633	"Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47."	ulcerative colitis	Ulcerative colitis	9799	DRB1_404	HC201	-0.535088	5.37E-07	0.084859	-0.541463	9.10E-07	0.087004	-0.82623	1	0.707733	35236	35238	2	ulcerative colitis	HLA-DRB1
6	32461866	www.ncbi.nlm.nih.gov/pubmed/21297633	"Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47."	ulcerative colitis	Ulcerative colitis	38149	DRB1_103	HC201	1.037461	1.85E-58	0.062109	1.037587	6.92E-13	0.065163	2.072556	0.000406062	0.391675	35275	35277	2	ulcerative colitis	HLA-DRB1
6	32461866	www.ncbi.nlm.nih.gov/pubmed/21297633	"Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47."	ulcerative colitis	Ulcerative colitis	40039	DRB1_1501	HC201	0.167321	0.001163618	0.034165	0.070841	1	0.041491	0.650789	3.75E-08	0.094608	35472	35457	-15	ulcerative colitis	HLA-DRB1
6	32644620	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	9799	DRB1_404	HC201	-0.535088	5.37E-07	0.084859	-0.541463	9.10E-07	0.087004	-0.82623	1	0.707733	35236	35238	2	ulcerative colitis	HLA-DRB1
6	32644620	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	38149	DRB1_103	HC201	1.037461	1.85E-58	0.062109	1.037587	6.92E-13	0.065163	2.072556	0.000406062	0.391675	35275	35277	2	ulcerative colitis	HLA-DRB1
6	32644620	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	ulcerative colitis	Ulcerative colitis	40039	DRB1_1501	HC201	0.167321	0.001163618	0.034165	0.070841	1	0.041491	0.650789	3.75E-08	0.094608	35472	35457	-15	ulcerative colitis	HLA-DRB1
6	32619077	www.ncbi.nlm.nih.gov/pubmed/23511034	Genome-wide association study of ulcerative colitis in Koreans suggests extensive overlapping of genetic susceptibility with Caucasians.	ulcerative colitis	Ulcerative colitis	9799	DRB1_404	HC201	-0.535088	5.37E-07	0.084859	-0.541463	9.10E-07	0.087004	-0.82623	1	0.707733	35236	35238	2	ulcerative colitis	HLA-DRB1
